Service,AvgAnnualReturn,AnnualReturnVolatility,Liquidity,TotalValue,AvgAnnualFeeRate,TotalServiceFee,TotalServiceCost,ProfitMargin,Score,AdjustedScore
service1,2.06,10.63,middle,3764816557,2.19,82449482.6,65930902.65,20.03,82.11675,3
service2,1.79,9.74,middle,4108829569,2.81,115458110.9,90618360.94,21.51,68.91630762,2
service3,5.88,12.81,high,3124121780,4.73,147770960.2,106136894.7,28.17,213.0450506,8
service4,1.87,10.7,low,3740186916,1.79,66949345.79,60281080.41,9.96,90.0405,3
service5,1.93,6.4,low,6253125000,1.81,113181562.5,102474871.2,9.46,74.112,2
service6,2.58,9.88,middle,4050607287,2.75,111391700.4,87837424.74,21.15,100.7596531,4
service7,2.59,5.77,high,6935875217,4.07,282290121.3,192438628.8,31.83,61.6169274,2
service8,1.74,10.31,low,3881668283,1.86,72199030.07,65027614.65,9.93,85.09404579,3
service9,2.08,4,middle,10005000000,2.23,223111500,188990814.7,15.29,52,2
service10,7.45,14.12,high,2834277620,4.51,127825920.7,89838256.99,29.72,278.3171634,10
service11,2.17,11.63,middle,3441100602,2.1,72263112.64,57588521.39,20.31,94.639125,3
service12,2.54,4.55,high,8795604396,5.26,462648791.2,325353376.5,29.68,54.20713494,2
service13,4.64,5.54,high,7223826715,4.87,351800361,251320243,28.56,109.0596244,4
service14,2.17,4.77,low,8389937107,2.13,178705660.4,161776511.8,9.47,71.15067414,2
service15,5.57,13.53,high,2957871397,2.56,75721507.76,49606496.93,34.49,199.3893749,7
service16,1.75,2.48,middle,16137096774,2.84,458293548.4,372375888.4,18.75,34.31071261,1
service17,3.4,6.44,low,6214285714,1.92,119314285.7,108168542.1,9.34,131.376,5
service18,3,7.78,middle,5143958869,2.38,122426221.1,98083731.27,19.88,105.1919585,4
service19,8.19,15.62,high,2562099872,4.35,111451344.4,75500794.01,32.26,313.3578339,10
service20,5.85,10.37,low,3859209257,1.92,74096817.74,66421317.5,10.36,287.7569897,10
service21,3.13,7.79,middle,5137355584,2.3,118159178.4,91917673.21,22.21,109.8913439,4
service22,2.8,6.08,high,6582236842,3.91,257365460.5,188945517,26.58,68.096,2
service23,2,10.64,low,3761278195,1.63,61308834.59,55116260.04,10.1,95.76,3
service24,2.85,5.85,middle,6841025641,2.27,155291282.1,125593201.6,19.12,85.92809818,3
service25,2.67,2.64,high,15159090909,2.9,439613636.4,312968084.2,28.81,43.45172142,1
service26,3.98,7.05,low,5676595745,1.87,106152340.4,96099275.13,9.47,157.4807469,6
service27,2.85,5.94,high,6737373737,3.96,266800000,189189680.6,29.09,69.80005514,2
service28,2.29,9.53,middle,4199370409,1.99,83567471.14,67305264.56,19.46,86.26574872,3
service29,3.37,5.64,low,7095744681,1.94,137657446.8,122053668.5,11.34,120.9585345,4
service30,4.52,8.19,high,4886446886,5.42,264845421.3,186571007.3,29.55,128.2368849,5
service31,3.86,4.41,high,9074829932,2.87,260447619.1,175002739.2,32.81,81.63752169,3
service32,5.29,7.05,low,5676595745,1.84,104449361.7,92729587.69,11.22,209.3148621,8
service33,1.98,10.63,low,3764816557,1.89,71155032.93,64054056.52,9.98,94.7133,3
