Client,RiskTolerance,Region,TotalInvestment,YearsOfInvestmentExperience,AnnualFeeRate,TotalServiceFee,TotalServiceCost,NetIncome,ProfitMargin
client1,middle,East Asia,182345761.5,19,1.7,3099877.94,1185247.45,1914630.49,61.76
client2,middle,East Asia,183173322.3,17,1.8,3297119.8,1190626.6,2106493.2,63.89
client3,low,East Asia,227614891.3,28,0.6,1365689.35,1479496.79,-113807.44,-8.33
client4,low,East Asia,231761118.1,24,0.7,1622327.83,1506447.27,115880.56,7.14
client5,low,East Asia,241361327.9,21,0.8,1930890.62,1568848.63,362041.99,18.75
client6,middle,East Asia,156954318.1,17,1.8,2825177.73,1020203.07,1804974.66,63.89
client7,middle,East Asia,185168450.9,17,1.8,3333032.12,1203594.93,2129437.19,63.89
client8,middle,East Asia,195890266.7,24,1.4,2742463.73,1273286.73,1469177,53.57
client9,high,East Asia,87147257.62,18,3.5,3050154.02,566457.17,2483696.85,81.43
client10,middle,East Asia,111160328,21,1.5,1667404.92,722542.13,944862.79,56.67
client11,middle,East Asia,106051364.9,18,1.7,1802873.2,689333.87,1113539.33,61.76
client12,middle,East Asia,100142389.7,21,1.5,1502135.85,650925.53,851210.32,56.67
client13,middle,East Asia,104060749.4,10,2.7,2809640.23,676394.87,2133245.36,75.93
client14,high,East Asia,84055233.38,7,6.7,5631700.64,546359.02,5085341.62,90.3
client15,middle,East Asia,90746570.74,7,3.3,2994636.83,589852.71,2404784.12,80.3
client16,high,East Asia,9257443.83,13,4.4,407327.53,60173.38,347154.15,85.23
client17,high,East Asia,9709585.14,6,7.3,708799.72,63112.3,645687.42,91.1
client18,high,East Asia,11397384.27,8,6.2,706637.82,74083,632554.82,89.52
client19,high,East Asia,9970655.51,8,6.2,618180.64,64809.26,553371.38,89.52
client20,high,East Asia,11098679.31,10,5.3,588230,72141.42,516088.58,87.74
client21,high,East Asia,10454360.92,2,11.4,1191797.14,67953.35,1123843.79,94.3
client22,high,East Asia,10240129.52,10,5.3,542726.86,66560.84,476166.02,87.74
client23,low,North America,1010263539,23,0.7,7071844.77,6566713,505131.77,7.14
client24,low,North America,1000069494,37,0.5,5000347.47,6500451.71,-1500104.24,-30
client25,low,North America,965345870.9,30,0.6,5792075.23,6274748.16,-482672.93,-8.33
client26,low,North America,954438558.9,26,0.6,5726631.35,6203850.63,-477219.28,-8.33
client27,low,North America,1033569042,29,0.6,6201414.25,6718198.77,-516784.52,-8.33
client28,low,North America,994563916.1,41,0.4,3978255.66,6464665.45,-2486409.79,-62.5
