Client,RiskTolerance,Region,TotalInvestment,YearsOfInvestmentExperience,AnnualFeeRate,TotalServiceFee,TotalServiceCost,NetIncome,ProfitMargin,Service,AvgAnnualReturn,AnnualReturnVolatility,Liquidity,TotalValue,AvgAnnualFeeRate,ServiceTotalServiceFee,ServiceTotalServiceCost,ProfitMargin,Score,AdjustedScore,AllocPercent
client9,high,East Asia,87147257.62,18,3.5,3050154.02,566457.17,2483696.85,81.43,service3,5.88,12.81,high,3124121780,4.73,147770960.2,106136894.7,28.17,213.0450506,8,8.71
client9,high,East Asia,87147257.62,18,3.5,3050154.02,566457.17,2483696.85,81.43,service10,7.45,14.12,high,2834277620,4.51,127825920.7,89838256.99,29.72,278.3171634,10,6.79
client9,high,East Asia,87147257.62,18,3.5,3050154.02,566457.17,2483696.85,81.43,service15,5.57,13.53,high,2957871397,2.56,75721507.76,49606496.93,34.49,199.3893749,7,8.61
client9,high,East Asia,87147257.62,18,3.5,3050154.02,566457.17,2483696.85,81.43,service19,8.19,15.62,high,2562099872,4.35,111451344.4,75500794.01,32.26,313.3578339,10,6.05
client9,high,East Asia,87147257.62,18,3.5,3050154.02,566457.17,2483696.85,81.43,service20,5.85,10.37,low,3859209257,1.92,74096817.74,66421317.5,10.36,287.7569897,10,2.65
client9,high,East Asia,87147257.62,18,3.5,3050154.02,566457.17,2483696.85,81.43,service32,5.29,7.05,low,5676595745,1.84,104449361.7,92729587.69,11.22,209.3148621,8,7.04
client14,high,East Asia,84055233.38,7,6.7,5631700.64,546359.02,5085341.62,90.3,service3,5.88,12.81,high,3124121780,4.73,147770960.2,106136894.7,28.17,213.0450506,8,4.2
client14,high,East Asia,84055233.38,7,6.7,5631700.64,546359.02,5085341.62,90.3,service10,7.45,14.12,high,2834277620,4.51,127825920.7,89838256.99,29.72,278.3171634,10,5.36
client14,high,East Asia,84055233.38,7,6.7,5631700.64,546359.02,5085341.62,90.3,service15,5.57,13.53,high,2957871397,2.56,75721507.76,49606496.93,34.49,199.3893749,7,9.1
client14,high,East Asia,84055233.38,7,6.7,5631700.64,546359.02,5085341.62,90.3,service19,8.19,15.62,high,2562099872,4.35,111451344.4,75500794.01,32.26,313.3578339,10,8.2
